state,cd_2020,cd_2010,pop,vap,pop_overlap,vap_overlap
IL,14,1,1937,1592,0.0025728965209444667,0.0028226449885640327
IL,14,3,42888,33861,0.05696767474975028,0.060036169571461497
IL,14,11,304252,225250,0.40413469916902217,0.3993723515540505
IL,14,14,249758,181606,0.33175089792361806,0.32199074484494955
IL,14,16,154013,121701,0.20457383163666504,0.21577808904097445
IL,15,12,2732,2164,0.0036295663518473987,0.0036605190020518527
IL,15,13,211623,167785,0.2811492386811867,0.2838170890754483
IL,15,15,236099,183258,0.3136665395698459,0.3099904765610067
IL,15,17,27091,21551,0.035991428271558525,0.03645464187302194
IL,15,18,275162,216415,0.3655632271255615,0.36607727348847124
IL,16,13,9453,7259,0.012472654631625892,0.012405472147929145
IL,16,14,15054,11276,0.019862831146143678,0.019270437242051117
IL,16,16,355972,277523,0.46968325553042756,0.47428073383520325
IL,16,17,108448,84967,0.1430904950270353,0.14520674362764785
IL,16,18,268971,204120,0.3548907636647676,0.34883661314716863
IL,17,13,47966,39846,0.06385394770648431,0.06775643325618924
IL,17,16,61433,47735,0.08178166971297274,0.0811713432084574
IL,17,17,538319,417716,0.7166283049536532,0.7103083439753638
IL,17,18,103465,82780,0.13773607762688986,0.1407638795599896
IN,1,1,726991,559836,0.9632936836567982,0.9632730595115807
IN,1,2,27702,21345,0.0367063163432018,0.03672694048841927
IN,2,1,5211,4067,0.006916708809346517,0.007126748173628403
IN,2,2,695520,526156,0.9231835177656283,0.9220017978961461
IN,2,3,40245,30758,0.05341833545042229,0.053898333003310164
IN,2,4,12417,9686,0.016481437974602896,0.016973120926915348
IN,3,2,8659,6819,0.01148064373278036,0.012096666897282109
IN,3,3,718669,535981,0.9528563056696534,0.9508115002598858
IN,3,5,9377,7395,0.012432613036410836,0.013118470700308138
IN,3,6,17521,13514,0.02323043756115541,0.02397336214252389
IN,4,4,71686,55855,0.09522000515377647,0.09733837786216307
IN,4,5,569257,427684,0.7561400339511667,0.7453239065007851
IN,4,6,111903,90284,0.14863996089505688,0.15733771563705184
IN,5,4,670845,515336,0.8888448706703518,0.8918347356871649
IN,5,5,36298,25468,0.04809351059572991,0.04407463683592979
