district_id,district,error
NM-2,3502,-1.9020154488668553
NM-1,3501,-1.082195923453881
NJ-9,3409,3.303498954030836
NJ-8,3408,-8.310717185402893
NJ-7,3407,0.6936327705627718
NJ-6,3406,-0.4371409380272766
NJ-5,3405,-0.7215753713829827
NJ-4,3404,-1.777279528695093
NJ-3,3403,-3.6029170820652325
NJ-2,3402,0.4528133296717556
NJ-12,3412,4.136170633341337
NJ-1,3401,-9.209811295476122
NJ-11,3411,-1.9661780394641042
NJ-10,3410,-2.627549535144226
NH-2,3302,-2.2440558024510437
NH-1,3301,-4.110847999483234
NE-3,3103,3.7307466371510145
NE-2,3102,-1.8789573749630009
NE-1,3101,-4.008826295651865
ND-1,3800,0
NC-9,3709,-2.457451832531113
NC-8,3708,-0.4504399863372228
NC-7,3707,-3.0123636422265747
