district_id,district,error
KY.6,2106,2.536414723149946
LA.1,2201,0.07538205250324381
LA.2,2202,-0.8413195081148928
LA.3,2203,13.26093330833388
LA.5,2205,20.81468595809828
LA.6,2206,0
MA.1,2501,0.3667225147272859
MA.2,2502,-1.1207148772166562
MA.3,2503,-0.9955975801462671
MA.5,2505,-1.2363707409473932
MA.6,2506,0.007513020143910865
MA.7,2507,-1.623140814135013
MA.8,2508,-2.3267060058893634
MA.9,2509,-1.4105945511063425
MD.1,2401,1.123256775803334
MD.2,2402,0.9269455636467825
MD.3,2403,-0.9198446460948233
MD.4,2404,-3.340704135611375
MD.5,2405,3.4035165514598162
MD.6,2406,-1.004140025196378
MD.7,2407,-1.7790667899993053
MD.8,2408,-0.6993950582334634
ME.1,2301,-1.6214106977596643
ME.2,2302,-1.384103007517055
